Feature Type,Model,Test MSE,Test RMSE,Test MAE,Test R²,Spearman ρ,Pearson r,N Test
PhysChem,Grasso RF (exact),1.1933,1.0924,0.8093,0.7497,0.8592,0.8685,1323
PhysChem,RF (tuned),1.2078,1.0990,0.8202,0.7466,0.8573,0.8666,1323
ESM2-650M,RF (tuned),1.1894,1.0906,0.8179,0.7502,0.8531,0.8684,1326
ESM2-3B,RF (tuned),1.2448,1.1157,0.8322,0.7386,0.8485,0.8619,1326
Ginkgo-AA0,RF (tuned),1.1581,1.0761,0.8007,0.7568,0.8568,0.8717,1326
PhysChem,NN (regression),1.3279,1.1523,0.8457,0.7214,0.8398,0.8533,1323
ESM2-650M,NN (regression),1.0902,1.0441,0.7678,0.7711,0.8613,0.8785,1326
ESM2-3B,NN (regression),1.0669,1.0329,0.7550,0.7760,0.8608,0.8815,1326
Ginkgo-AA0,NN (regression),1.0497,1.0245,0.7563,0.7796,0.8664,0.8844,1326
